,Title,Brand,Label
0,Audi Siapkan Mobil Q5 Generasi Baru,Audi,1
1,Akhirnya! BMW M4 CSL 2023 Telah Rilis,BMW,1
2,Begini Penampakan Mobil SUV Terbaru yang Menjadi Pesaing BMW,BMW,0
3,BMW Resmi Meluncurkan Mobil dengan Penyegaran Baru,BMW,1
4,BMW Astra Ajak Konsumennya Menjajal Sirkuit Sentul,BMW,0
5,BMW Indonesia dan Allianz Worldwide Partners Sempurnakan Layanan Derek,BMW,1
6,Ini yang Didapat Dari Layanan BMW Roadside Assistance,BMW,0
7,Joyfest: BMW Astra Driving Experience 2022 Kembali Bergulir di Sirkuit Sentul,BMW,1
8,Sensasi Berkendara di Sirkuit Ala Joyfest 2022 Persembahan BMW Astra,BMW,1
9,"Joyfest 2022, BMW Astra Ajak Pecinta BMW Geber Mobil di Sirkuit Sentul",BMW,1
10,Mewah! Ada Kristal Swarovski di Lampu Depan Mobil Listrik BMW i7,BMW,1
11,"BMW Percaya Tren Head Unit Berukuran Besar akan Berakhir, Menurut Anda?",BMW,0
12,BMW Diskusikan Rencana Perakitan Mobil PHEV di Indonesia,BMW,1
13,BMW Tarik Ratusan Unit Kendaraanya Karena Masalah Ini,BMW,-1
14,"Suzuki Cabut Dari MotoGP, BMW Rumornya Ancang-ancang Jadi Pengganti",BMW,1
15,BMW Hadirkan Mobil Model Terbaru yang Lebih Murah,BMW,1
16,BMW Astra Driving Experience Kembali Hadir di Sirkuit Sentul,BMW,1
17,"BMW Seri 3 G20 LCI, Tetap Pakai Gril Normal!",BMW,0
18,"BMW Godok Rangka Baru Khusus Mobil Listrik, Ini Namanya!",BMW,1
19,Beginilah Keseruan BMW Joyfest 2022 di Sirkuit Sentul.,BMW,1
20,"Belum Rilis Produk, Chery Klaim Ribuan Konsumen Sudah Antre Mau Beli Unitnya",Chery,1
21,Keren! Chery Tiggo 7 Pro Pakai Filter Ini Untuk Jaga Kebersihkan Udara Di Kabinnya,Chery,1
22,"Jenazah Mental Keluar Kabin, Ambulans Terobos Lampu Merah Tinju Chevrolet Spin",Chevrolet,0
23,"Dibawa Pelajar Usia 18 Tahun, Chevrolet Spin Bikin Heran, Posisi Berhenti Tak Lazim",Chevrolet,-1
24,"Daihatsu Indonesia Masters 2022, Tahun Ini Bisa Ditonton Langsung",Daihatsu,1
25,Penjualan Daihatsu Terios Turun Gara-gara Ini,Daihatsu,-1
